displayName,TEAM_ABBREVIATION,MIN,jackDKavgFPTs
Tre Mann,OKC,17.7,15.02
Trendon Watford,POR,19.1,16.35
Trent Forrest,ATL,12.0,7.3
Trevelin Queen,IND,10.0,9.0
Trevor Hudgins,HOU,5.7,2.8
Trevor Keels,NYK,2.7,2.02
Trey Lyles,SAC,16.9,15.82
Trey Murphy III,NOP,31.0,25.2
Troy Brown Jr.,LAL,24.5,16.58
Ty Jerome,GSW,18.1,14.78
TyTy Washington Jr.,HOU,14.0,10.07
Tyler Dorsey,DAL,2.8,4.03
Tyler Herro,MIA,34.9,35.45
Tyrese Haliburton,IND,33.6,46.62
Tyrese Martin,ATL,4.1,2.65
Tyrese Maxey,PHI,33.6,31.68
Tyus Jones,MEM,24.2,23.72
Udoka Azubuike,UTA,10.0,9.02
Udonis Haslem,MIA,10.3,6.85
Usman Garuba,HOU,12.9,11.32
Vernon Carey Jr.,UTA,2.6,2.9
Victor Oladipo,MIA,26.3,22.9
Vince Williams Jr.,MEM,7.0,4.7
Vit Krejci,ATL,5.7,3.62
Vlatko Cancar,DEN,14.8,10.82
Walker Kessler,UTA,23.0,26.05
Wendell Carter Jr.,ORL,29.6,31.48
Wendell Moore Jr.,MIN,5.3,3.95
Wenyen Gabriel,LAL,15.1,13.0
Wesley Matthews,MIL,15.8,8.85
Will Barton,TOR,17.7,14.35
Willy Hernangomez,NOP,12.0,15.08
Xavier Cooks,WAS,12.6,11.05
Xavier Moon,LAC,4.9,4.75
Xavier Sneed,CHA,12.1,8.48
Xavier Tillman,MEM,19.3,18.35
Yuta Watanabe,BKN,16.0,11.5
Zach Collins,SAS,22.9,26.2
Zach LaVine,CHI,35.9,38.98
Zeke Nnaji,DEN,13.7,10.15
Ziaire Williams,MEM,15.2,10.73
Zion Williamson,NOP,33.0,43.45
